id;path;orch_composer;orch_song;orch_audio_path;solo_composer;solo_song;solo_audio_path
0;bouliane/0;johannes brahms;Symph4_iv;;;Symph4_iv;                                    
10;bouliane/10;joseph haydn;Symph93_i;;;Symph93_i;
11;bouliane/11;hector berlioz;Fantastique_v_Choral;;;Fantastique_v_Choral;               
12;bouliane/12;claude debussy;La Mer_i;;;La Mer_i;
13;bouliane/13;igor stravinsky;VOLGA;;;VOLGA;
14;bouliane/14;piotr ilyich tchaikovsky;Casse noisette (Overture);;;Casse noisette (Overture);
15;bouliane/15;wolfgang amadeus mozart;Divertim10K247_ii;;;Divertim10K247_ii;          
16;bouliane/16;claude debussy;Arabesque I;;;Arabesque I;
17;bouliane/17;maurice ravel;PavaneInfante;;;PavaneInfante;                            
18;bouliane/18;joseph haydn;Symph100_ii;;;Symph100_ii;
19;bouliane/19;johannes brahms;Hung_Dance 1;;;Hung_Dance 1;                              
1;bouliane/1;robert schumann;AlbumJung_1;;;AlbumJung_1;                              
20;bouliane/20;johann strauss;Danube;;;Danube;
21;bouliane/21;ludwig van beethoven;Symph3_ii;;;Symph3_ii;
22;bouliane/22;piotr ilyich tchaikovsky;Serenade_i;;;Serenade_i;                       
23;bouliane/23;maurice ravel;MereL'oye_Pavane;;;MereL'oye_Pavane;                      
24;bouliane/24;igor stravinsky;4 Etudes-Madrid;;;4 Etudes-Madrid;                      
25;bouliane/25;piotr ilyich tchaikovsky;Mozartiana_Minuet;;;Mozartiana_Minuet;         
26;bouliane/26;joseph haydn;Symph98_ii;;;Symph98_ii;
27;bouliane/27;joseph haydn;StrQuartetOp76;;;StrQuartetOp76;                           
28;bouliane/28;wolfgang amadeus mozart;Symph40_i;;;Symph40_i;                          
29;bouliane/29;frederic chopin;Prel_Op28#20;;;Prel_Op28#20;                              
2;bouliane/2;igor stravinsky;4 Etudes-Excentrique;;;4 Etudes-Excentrique;            
30;bouliane/30;felix mendelssohn;Symph5_iv;;;Symph5_iv;                                
31;bouliane/31;wolfgang amadeus mozart;KlNachtmusik_i;;;KlNachtmusik_i;                
32;bouliane/32;joseph haydn;Symph104_ii;;;Symph104_ii;
33;bouliane/33;claude debussy;ChildrensCorner1_Gradus;;;ChildrensCorner1_Gradus;
34;bouliane/34;ludwig van beethoven;Symph7_ii;;;Symph7_ii;                               
35;bouliane/35;claude debussy;SuiteBergam_Passepied;;;SuiteBergam_Passepied;
36;bouliane/36;joseph haydn;Symph101_iv;;;Symph101_iv;
37;bouliane/37;piotr ilyich tchaikovsky;Symph4_i_Intro(1-26);;;Symph4_i_Intro(1-26);
38;bouliane/38;richard strauss;DonJuan;;;DonJuan;
39;bouliane/39;anton dvorak;NewWorld_ii;;;NewWorld_ii;
3;bouliane/3;modest moussorgsky;TableauxProm;;;TableauxProm;
4;bouliane/4;frederic chopin;Prel_Op28#4;;;Prel_Op28#4;       
5;bouliane/5;arnold schonberg;VNacht;;;VNacht;
6;bouliane/6;piotr ilyich tchaikovsky;Serenade-ii;;;Serenade-ii;                     
7;bouliane/7;claude debussy;SuiteBergam_Prelude;;;SuiteBergam_Prelude;
8;bouliane/8;johannes brahms;Symph3_iii;;;Symph3_iii;                                  
9;bouliane/9;ludwig van beethoven;Symph3_iii;;;Symph3_iii;                             
