id;path;orch_composer;orch_song;orch_audio_path;solo_composer;solo_song;solo_audio_path
0;imslp/0;mykola leontovych;Carol of the Bells;;michel rondeau;Carol of the Bells;
1;imslp/1;mykola leontovych;Carol of the Bells;;steve shorter;Carol of the Bells;
2;imslp/2;steve wiberg;Keyboard Sonata in A major, R.1;;antonio soler;Keyboard Sonata in A major, R.1;
3;imslp/3;philipp heinrich erlebach;halleluja;;michel rondeau;halleluja;
4;imslp/4;michel rondeau;Fugue in C major, BWV 952;;johann sebastian bach;Fugue in C major, BWV 952;
5;imslp/5;;Fugue in D Minor (string trio);;johann sebastian bach;Fugue in D Minor;
7;imslp/7;georg philipp telemann;Gavotte in F major;;;Gavotte in F major;
8;imslp/8;heinrich isaac;Innsbruck, ich mus dich lassen (in F Major);;;Innsbruck, ich mus dich lassen (in F Major);
9;imslp/9;georg philipp telemann;Sonata in D major, TWV 44/1;;;Sonata in D major, TWV 44/1;
10;imslp/10;;Fugue in G minor, BWV 578;;johann sebastian bach;Fugue in G minor, BWV 578;
11;imslp/11;;Chaconne in A minor;;johann caspar ferdinand fischer;Chaconne in A minor;
12;imslp/12;antonio vivaldi;Concerto for Oboe and Violin in Bb Major 3rd mvt;;;Concerto for Oboe and Violin in Bb Major 3rd mvt;
13;imslp/13;antonio vivaldi;Concerto for Oboe and Violin in Bb Major 3rd mvt;;;Concerto for Oboe and Violin in Bb Major 3rd mvt;
14;imslp/14;antonio vivaldi;Concerto for Oboe and Violin in Bb Major 1st mvt;;;Concerto for Oboe and Violin in Bb Major 1st mvt;
15;imslp/15;;Prelude and Allegro in G minor, HWV 574;;george frideric handel;Prelude and Allegro in G minor, HWV 574;
16;imslp/16;;Ach Gott und Herr;;johann gottfried walther;Ach Gott und Herr;
20;imslp/20;johann sebastian bach;Herz und Mund und Tat und Leben, BWV 147;;;Herz und Mund und Tat und Leben, BWV 147;
21;imslp/21;johann sebastian bach;Herz und Mund und Tat und Leben, BWV 147;;;Herz und Mund und Tat und Leben, BWV 147;
22;imslp/22;johann sebastian bach;Herz und Mund und Tat und Leben, BWV 147;;;Herz und Mund und Tat und Leben, BWV 147;
23;imslp/23;friedrich wilhelm zachow;In dulci jubilo, LV 34;;;In dulci jubilo, LV 34;
25;imslp/25;;Vom Himmel Hoch, LV 51;;friedrich wilhelm zachow;Vom Himmel Hoch, LV 51;
26;imslp/26;friedrich wilhelm zachow;Wer Gott vertraut, LV 13;;;Wer Gott vertraut, LV 13;
27;imslp/27;friedrich wilhelm zachow;Wer Gott vertraut, LV 13;;;Wer Gott vertraut, LV 13;
28;imslp/28;;Minuet, No. 3 from Anna Magdalene's Notebook;;anna magdalena bach;Minuet, No. 3 from Anna Magdalene's Notebook;
29;imslp/29;;Notebooks for Anna Magdalena Bach;;anna magdalena bach;Notebooks for Anna Magdalena Bach;
30;imslp/30;;Notebooks for Anna Magdalena Bach;;anna magdalena bach;Notebooks for Anna Magdalena Bach;
32;imslp/32;;prelude_and_fugue_544;;johann sebastian bach;prelude_and_fugue_544;
34;imslp/34;;Toccata and Fugue in D minor, BWV 565;;johann sebastian bach;Toccata and Fugue in D minor, BWV 565;
36;imslp/36;;Viennese Sonatina No. 3;;wolfgang amadeus mozart;Viennese Sonatina No. 3;
39;imslp/39;;Prelude and Allegro in G minor, HWV 574;;george frideric handel;Prelude and Allegro in G minor, HWV 574;
41;imslp/41;;Wachet auf, ruft uns die Stimme;;johann sebastian bach;Wachet auf, ruft uns die Stimme;
42;imslp/42;;Wachet auf, ruft uns die Stimme;;johann sebastian bach;Wachet auf, ruft uns die Stimme;
43;imslp/43;;Ricercare;;floriano arresti;Ricercare;
44;imslp/44;;Ricercare;;floriano arresti;Ricercare;
45;imslp/45;;Ricercare;;floriano arresti;Ricercare;
48;imslp/48;adriano banchieri;Contrappunto bestiale alla mente;;;Contrappunto bestiale alla mente;
50;imslp/50;adriano banchieri;Fantasia Secunda;;;Fantasia Secunda;
53;imslp/53;;Sonatina in F Major;;ludwig van beethoven;Sonatina in F Major;
54;imslp/54;ludwig van beethoven;Romance in G major, Op.40;;;Romance in G major, Op.40;
55;imslp/55;wolfgang amadeus mozart;Ave verum (in C);;;Ave verum (in C);
56;imslp/56;;chorale-preludes_buxwv-224;;dietrich buxtehude;chorale-preludes_buxwv-224;
57;imslp/57;;Pavane (The Earl of Sulisbury);;william byrd;Pavane (The Earl of Sulisbury);
